contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type
SPY250821C00520000,2025-08-21 14:15:42+00:00,520.0,117.06,114.43,117.23,-7.2000046,-5.7943063,1.0,1.0,1.763673056640625,True,REGULAR,USD,call
SPY250821C00540000,2025-08-15 17:24:57+00:00,540.0,104.18,94.43,97.23,0.0,0.0,,3.0,1.4716823291015624,True,REGULAR,USD,call
SPY250821C00590000,2025-08-21 19:31:54+00:00,590.0,45.85,44.43,47.23,-0.25,-0.5422994,67.0,35.0,0.754885263671875,True,REGULAR,USD,call
SPY250821C00595000,2025-08-20 19:21:10+00:00,595.0,40.61,39.43,42.23,-2.829998,-6.514729,1.0,7.0,0.6826203613281252,True,REGULAR,USD,call
SPY250821C00600000,2025-08-21 19:21:48+00:00,600.0,35.45,34.43,37.23,-3.3099976,-8.539725,37.0,9.0,0.6103554589843752,True,REGULAR,USD,call
SPY250821C00605000,2025-08-21 19:21:21+00:00,605.0,31.24,29.43,32.23,-2.7199993,-8.009421,48.0,35.0,0.5371140039062501,True,REGULAR,USD,call
SPY250821C00608000,2025-08-20 19:49:37+00:00,608.0,31.0,26.43,29.16,0.0,0.0,1.0,11.0,0.7541528491210938,True,REGULAR,USD,call
SPY250821C00609000,2025-08-21 19:56:45+00:00,609.0,26.7,25.43,28.16,-1.7099991,-6.0190043,43.0,43.0,0.7346217944335938,True,REGULAR,USD,call
SPY250821C00610000,2025-08-21 19:49:47+00:00,610.0,25.59,24.43,27.16,-3.0499992,-10.64944,13.0,6.0,0.7148466015625,True,REGULAR,USD,call
SPY250821C00611000,2025-08-21 19:09:45+00:00,611.0,25.19,23.43,26.16,0.19000053,0.76000214,53.0,29.0,0.6950714086914063,True,REGULAR,USD,call
SPY250821C00612000,2025-08-21 19:57:35+00:00,612.0,23.5,22.43,25.16,-4.3999996,-15.770609,23.0,20.0,0.6752962158203126,True,REGULAR,USD,call
SPY250821C00613000,2025-08-21 19:26:21+00:00,613.0,23.14,21.43,24.16,2.3400002,11.250001,68.0,18.0,0.6552768847656252,True,REGULAR,USD,call
SPY250821C00614000,2025-08-21 18:30:11+00:00,614.0,21.42,20.43,23.16,-1.1299992,-5.011083,44.0,2.0,0.6352575537109376,True,REGULAR,USD,call
SPY250821C00615000,2025-08-21 20:01:44+00:00,615.0,20.54,19.43,22.16,-3.289999,-13.806123,98.0,40.0,0.6149940844726562,True,REGULAR,USD,call
SPY250821C00616000,2025-08-21 17:57:07+00:00,616.0,19.85,18.43,21.16,-2.4300003,-10.906644,34.0,7.0,0.5944864770507813,True,REGULAR,USD,call
SPY250821C00617000,2025-08-21 17:42:47+00:00,617.0,19.33,17.43,20.16,-1.6800003,-7.996194,23.0,4.0,0.5739788696289063,True,REGULAR,USD,call
SPY250821C00618000,2025-08-21 20:00:04+00:00,618.0,17.57,16.43,19.16,-1.8999996,-9.758602,49.0,5.0,0.5532271240234375,True,REGULAR,USD,call
SPY250821C00620000,2025-08-21 19:30:04+00:00,620.0,15.93,14.43,17.16,-2.9300003,-15.535526,73.0,29.0,0.5112353564453125,True,REGULAR,USD,call
SPY250821C00622000,2025-08-21 18:30:30+00:00,622.0,13.13,12.43,15.16,-3.0199995,-18.699688,27.0,24.0,0.46851117431640626,True,REGULAR,USD,call
SPY250821C00623000,2025-08-21 20:01:44+00:00,623.0,12.54,11.43,14.16,-3.0200005,-19.408743,60.0,10.0,0.4467828759765625,True,REGULAR,USD,call
SPY250821C00624000,2025-08-21 19:49:02+00:00,624.0,11.42,10.43,13.16,-3.25,-22.154057,114.0,46.0,0.424810439453125,True,REGULAR,USD,call
SPY250821C00625000,2025-08-21 19:58:02+00:00,625.0,10.47,9.43,12.15,-2.6399994,-20.137295,256.0,67.0,0.401373173828125,True,REGULAR,USD,call
SPY250821C00626000,2025-08-21 20:04:17+00:00,626.0,9.58,8.55,11.05,-2.5200005,-20.82645,208.0,88.0,0.3684145190429688,True,REGULAR,USD,call
